,STATION,Day,Time_Range,Total_Traffic
11870,MORRIS PARK,Thursday,08:00 to 12:00,700.75
11871,MORRIS PARK,Thursday,12:00 to 16:00,1139.75
11872,MORRIS PARK,Thursday,16:00 to 20:00,1397.5
11873,MORRIS PARK,Thursday,20:00 to 00:00,415.5
11874,MORRIS PARK,Tuesday,00:00 to 04:00,49.25
11875,MORRIS PARK,Tuesday,04:00 to 08:00,1788.75
11876,MORRIS PARK,Tuesday,08:00 to 12:00,656.25
11877,MORRIS PARK,Tuesday,12:00 to 16:00,1184.25
11878,MORRIS PARK,Tuesday,16:00 to 20:00,1486.25
11879,MORRIS PARK,Tuesday,20:00 to 00:00,402.5
11880,MORRIS PARK,Wednesday,00:00 to 04:00,51.25
11881,MORRIS PARK,Wednesday,04:00 to 08:00,1778.75
11882,MORRIS PARK,Wednesday,08:00 to 12:00,692.0
11883,MORRIS PARK,Wednesday,12:00 to 16:00,1178.0
11884,MORRIS PARK,Wednesday,16:00 to 20:00,1468.25
11885,MORRIS PARK,Wednesday,20:00 to 00:00,415.25
11886,MOSHOLU PKWY,Friday,00:00 to 04:00,264.0
11887,MOSHOLU PKWY,Friday,04:00 to 08:00,3415.75
11888,MOSHOLU PKWY,Friday,08:00 to 12:00,2122.0
11889,MOSHOLU PKWY,Friday,12:00 to 16:00,3107.5
11890,MOSHOLU PKWY,Friday,16:00 to 20:00,2238.25
11891,MOSHOLU PKWY,Friday,20:00 to 00:00,603.0
11892,MOSHOLU PKWY,Monday,00:00 to 04:00,237.25
11893,MOSHOLU PKWY,Monday,04:00 to 08:00,3471.75
11894,MOSHOLU PKWY,Monday,08:00 to 12:00,2192.0
11895,MOSHOLU PKWY,Monday,12:00 to 16:00,3220.5
11896,MOSHOLU PKWY,Monday,16:00 to 20:00,2344.75
11897,MOSHOLU PKWY,Monday,20:00 to 00:00,689.75
11898,MOSHOLU PKWY,Saturday,00:00 to 04:00,166.75
11899,MOSHOLU PKWY,Saturday,04:00 to 08:00,938.25
11900,MOSHOLU PKWY,Saturday,08:00 to 12:00,1137.5
11901,MOSHOLU PKWY,Saturday,12:00 to 16:00,1247.5
11902,MOSHOLU PKWY,Saturday,16:00 to 20:00,953.0
11903,MOSHOLU PKWY,Saturday,20:00 to 00:00,472.25
11904,MOSHOLU PKWY,Sunday,00:00 to 04:00,135.75
11905,MOSHOLU PKWY,Sunday,04:00 to 08:00,819.75
11906,MOSHOLU PKWY,Sunday,08:00 to 12:00,1222.5
11907,MOSHOLU PKWY,Sunday,12:00 to 16:00,1573.25
11908,MOSHOLU PKWY,Sunday,16:00 to 20:00,1134.5
11909,MOSHOLU PKWY,Sunday,20:00 to 00:00,546.5
11910,MOSHOLU PKWY,Thursday,00:00 to 04:00,260.25
11911,MOSHOLU PKWY,Thursday,04:00 to 08:00,3534.5
11912,MOSHOLU PKWY,Thursday,08:00 to 12:00,2141.25
11913,MOSHOLU PKWY,Thursday,12:00 to 16:00,3217.0
11914,MOSHOLU PKWY,Thursday,16:00 to 20:00,2438.75
11915,MOSHOLU PKWY,Thursday,20:00 to 00:00,730.25
11916,MOSHOLU PKWY,Tuesday,00:00 to 04:00,243.25
11917,MOSHOLU PKWY,Tuesday,04:00 to 08:00,3594.5
11918,MOSHOLU PKWY,Tuesday,08:00 to 12:00,2244.25
11919,MOSHOLU PKWY,Tuesday,12:00 to 16:00,3390.0
11920,MOSHOLU PKWY,Tuesday,16:00 to 20:00,2614.75
11921,MOSHOLU PKWY,Tuesday,20:00 to 00:00,748.25
11922,MOSHOLU PKWY,Wednesday,00:00 to 04:00,251.25
11923,MOSHOLU PKWY,Wednesday,04:00 to 08:00,3641.25
11924,MOSHOLU PKWY,Wednesday,08:00 to 12:00,2265.75
11925,MOSHOLU PKWY,Wednesday,12:00 to 16:00,3304.75
11926,MOSHOLU PKWY,Wednesday,16:00 to 20:00,2560.75
11927,MOSHOLU PKWY,Wednesday,20:00 to 00:00,730.5
11928,MT EDEN AV,Friday,00:00 to 04:00,280.0
11929,MT EDEN AV,Friday,04:00 to 08:00,1862.75
11930,MT EDEN AV,Friday,08:00 to 12:00,2147.75
11931,MT EDEN AV,Friday,12:00 to 16:00,2019.25
11932,MT EDEN AV,Friday,16:00 to 20:00,2258.25
11933,MT EDEN AV,Friday,20:00 to 00:00,846.5
11934,MT EDEN AV,Monday,00:00 to 04:00,234.0
11935,MT EDEN AV,Monday,04:00 to 08:00,1888.0
11936,MT EDEN AV,Monday,08:00 to 12:00,2164.5
11937,MT EDEN AV,Monday,12:00 to 16:00,1952.5
11938,MT EDEN AV,Monday,16:00 to 20:00,2276.0
11939,MT EDEN AV,Monday,20:00 to 00:00,1036.0
11940,MT EDEN AV,Saturday,00:00 to 04:00,254.75
11941,MT EDEN AV,Saturday,04:00 to 08:00,553.75
11942,MT EDEN AV,Saturday,08:00 to 12:00,1027.25
11943,MT EDEN AV,Saturday,12:00 to 16:00,1010.0
11944,MT EDEN AV,Saturday,16:00 to 20:00,915.25
11945,MT EDEN AV,Saturday,20:00 to 00:00,598.75
11946,MT EDEN AV,Sunday,00:00 to 04:00,244.25
11947,MT EDEN AV,Sunday,04:00 to 08:00,515.0
11948,MT EDEN AV,Sunday,08:00 to 12:00,888.0
11949,MT EDEN AV,Sunday,12:00 to 16:00,1137.75
11950,MT EDEN AV,Sunday,16:00 to 20:00,1050.5
11951,MT EDEN AV,Sunday,20:00 to 00:00,792.5
11952,MT EDEN AV,Thursday,00:00 to 04:00,300.5
11953,MT EDEN AV,Thursday,04:00 to 08:00,1924.75
11954,MT EDEN AV,Thursday,08:00 to 12:00,2237.0
11955,MT EDEN AV,Thursday,12:00 to 16:00,1979.5
11956,MT EDEN AV,Thursday,16:00 to 20:00,2369.5
11957,MT EDEN AV,Thursday,20:00 to 00:00,1141.75
11958,MT EDEN AV,Tuesday,00:00 to 04:00,290.0
11959,MT EDEN AV,Tuesday,04:00 to 08:00,1959.5
11960,MT EDEN AV,Tuesday,08:00 to 12:00,2250.25
